,name,latitude,longitude,Venue,Venue Id,Venue Latitude,Venue Longitude,Venue postalCode,Venue Category
104,Redland,51.47241,-2.60321,Fishminster,4cdecd6df8a4a14317bbd9bc,51.464824,-2.609947,,Seafood Restaurant
105,Southville,51.445,-2.6003,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant
106,Southville,51.445,-2.6003,Pasture,5aa6dc43c47cf935e5100373,51.449447,-2.589127,BS1 6NB,Steakhouse
107,Southville,51.445,-2.6003,Steak Of The Art,527be3db498e22b9354f15c3,51.449742734594274,-2.602994956298978,BS1 5LN,Steakhouse
108,Southville,51.445,-2.6003,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant
109,Southville,51.445,-2.6003,The Prince Street Social,56d0c35dcd105fe2c43a4796,51.45059531983873,-2.596522160683959,BS1 4PS,Gastropub
110,Southville,51.445,-2.6003,Loch Fyne,4c41a66eaf052d7f719f7d79,51.45166776264764,-2.593049864899382,BS1 4HQ,Seafood Restaurant
111,Southville,51.445,-2.6003,Smiley's Plaice,4f467478e4b054466e0fe82b,51.44115368330618,-2.599000113780284,,Seafood Restaurant
112,Southville,51.445,-2.6003,Fishminster,4b6c5c43f964a52099332ce3,51.441892227725276,-2.613110978737882,BS1 3LL,Seafood Restaurant
113,Speedwell,51.4682,-2.5268,Causeway Fish Bar,4e74c53a62e1263516185eac,51.47141028267213,-2.52419076499762,,Seafood Restaurant
114,Spike Island,51.4479,-2.6087,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant
115,Spike Island,51.4479,-2.6087,Steak Of The Art,527be3db498e22b9354f15c3,51.449742734594274,-2.602994956298978,BS1 5LN,Steakhouse
116,Spike Island,51.4479,-2.6087,Boston Tea Party,4b058836f964a520ceb822e3,51.45524932705079,-2.6036836847608544,BS1 5PF,Café
117,Spike Island,51.4479,-2.6087,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant
118,Spike Island,51.4479,-2.6087,The Prince Street Social,56d0c35dcd105fe2c43a4796,51.45059531983873,-2.596522160683959,BS1 4PS,Gastropub
119,Spike Island,51.4479,-2.6087,Fishminster,4b6c5c43f964a52099332ce3,51.441892227725276,-2.613110978737882,BS1 3LL,Seafood Restaurant
120,Spike Island,51.4479,-2.6087,Café Rouge,4b2e3c13f964a52089dd24e3,51.45548349780405,-2.604043607458133,BS1 5PJ,French Restaurant
121,Spike Island,51.4479,-2.6087,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant
122,St Andrew's,51.4712805,-2.588771666666667,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant
123,St Andrew's,51.4712805,-2.588771666666667,The Grace,53bc174c498eb3d61c9139c5,51.475253430705735,-2.5909394494923603,,Gastropub
124,St Andrew's,51.4712805,-2.588771666666667,The Social,4c8a78e01797236a82fe6188,51.46488869426382,-2.5899540447601903,BS6 5RW,Gastropub
125,St Anne's,51.4316,-2.5536,The Knowle,5648aa54498e6d7530bdd35b,51.43464281419301,-2.5621776997766825,,Gastropub
126,St. Jude's,51.460012,-2.579625,Harvey Nichols Restaurant & Bar,50450455183fcb060e8d47e7,51.45723347,-2.58622832,BS1 3BZ,French Restaurant
127,St. Jude's,51.460012,-2.579625,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant
128,St. Jude's,51.460012,-2.579625,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant
129,St. Jude's,51.460012,-2.579625,The Social,4c8a78e01797236a82fe6188,51.46488869426382,-2.5899540447601903,BS6 5RW,Gastropub
130,St. Jude's,51.460012,-2.579625,Piccolino,4bcc64dbb6c49c74ba9a9391,51.45705522762938,-2.5865264260015635,BS1 3BZ,Italian Restaurant
131,St. Paul's,51.4656,-2.582,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant
132,St. Paul's,51.4656,-2.582,Harvey Nichols Restaurant & Bar,50450455183fcb060e8d47e7,51.45723347,-2.58622832,BS1 3BZ,French Restaurant
133,St. Paul's,51.4656,-2.582,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant
134,St. Paul's,51.4656,-2.582,The Social,4c8a78e01797236a82fe6188,51.46488869426382,-2.5899540447601903,BS6 5RW,Gastropub
135,St. Paul's,51.4656,-2.582,Piccolino,4bcc64dbb6c49c74ba9a9391,51.45705522762938,-2.5865264260015635,BS1 3BZ,Italian Restaurant
136,St Philip's Marsh,51.4479,-2.5666,Winstons Fish Bar,4d3445cf5c2db60c6d43d26c,51.451753,-2.55695,,Seafood Restaurant
137,Stapleton,51.4804,-2.5552,crossed hands,51c6f0fd498ea04560582d09,51.47771072387695,-2.5634734630584717,,Gastropub
138,Totterdown,51.4388,-2.566,The Knowle,5648aa54498e6d7530bdd35b,51.43464281419301,-2.5621776997766825,,Gastropub
139,Totterdown,51.4388,-2.566,Best Spice,4dae0069a86e29d01a3b51bc,51.43958496327358,-2.5734144243076105,BS4 2AL,Indian Restaurant
140,Totterdown,51.4388,-2.566,Blackcastle,50215cc5e4b09ef8746b8e49,51.44491195678711,-2.5724523067474365,,Steakhouse
141,Totterdown,51.4388,-2.566,Top Chef Oriental Takeaway and Fish Bar,4c51fc3d2543a593e520c384,51.440418,-2.554334,,Chinese Restaurant
142,Tyndall's Park,51.46,-2.6,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant
143,Tyndall's Park,51.46,-2.6,Boston Tea Party,4b058836f964a520ceb822e3,51.45524932705079,-2.6036836847608544,BS1 5PF,Café
144,Tyndall's Park,51.46,-2.6,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant
145,Tyndall's Park,51.46,-2.6,Brewhouse & Kitchen,54f8b36e498e754ce4ddd03c,51.464018,-2.608344,BS6 6LT,Gastropub
146,Tyndall's Park,51.46,-2.6,Chomp,547718c6498ec0beb58c68e3,51.45400595161092,-2.5925957109955555,BS1 1UQ,Steakhouse
147,Tyndall's Park,51.46,-2.6,Zerodegrees,4b058838f964a5202cb922e3,51.45624675734139,-2.597980285043361,BS1 5BA,Gastropub
148,Tyndall's Park,51.46,-2.6,The Ox,5291302911d2e680e6a83849,51.454465937285164,-2.594465540507735,BS1 1HT,Steakhouse
149,Tyndall's Park,51.46,-2.6,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant
150,Tyndall's Park,51.46,-2.6,Pata Negra,5409ee3f498ea27289eb00e1,51.453949625289084,-2.5951340486910333,BS1 1YH,Tapas Restaurant
151,Tyndall's Park,51.46,-2.6,The Social,4c8a78e01797236a82fe6188,51.46488869426382,-2.5899540447601903,BS6 5RW,Gastropub
152,Tyndall's Park,51.46,-2.6,Piccolino,4bcc64dbb6c49c74ba9a9391,51.45705522762938,-2.5865264260015635,BS1 3BZ,Italian Restaurant
153,Tyndall's Park,51.46,-2.6,The Smoke Haus,58ea32fae309e104fb3ec877,51.45418,-2.597609,BS1,New American Restaurant
154,Tyndall's Park,51.46,-2.6,Café Rouge,4b2e3c13f964a52089dd24e3,51.45548349780405,-2.604043607458133,BS1 5PJ,French Restaurant
155,Upper Knowle,51.434,-2.5721,The Knowle,5648aa54498e6d7530bdd35b,51.43464281419301,-2.5621776997766825,,Gastropub
156,Upper Knowle,51.434,-2.5721,Best Spice,4dae0069a86e29d01a3b51bc,51.43958496327358,-2.5734144243076105,BS4 2AL,Indian Restaurant
157,Westbury Park,51.4788,-2.6121,Westbury Park Pub and Kitchen,578114c438fa6dae5d573ef1,51.480528,-2.611683,,Gastropub
158,Windmill Hill,51.4412,-2.5861,Pasture,5aa6dc43c47cf935e5100373,51.449447,-2.589127,BS1 6NB,Steakhouse
159,Windmill Hill,51.4412,-2.5861,Smiley's Plaice,4f467478e4b054466e0fe82b,51.44115368330618,-2.599000113780284,,Seafood Restaurant
160,Windmill Hill,51.4412,-2.5861,Best Spice,4dae0069a86e29d01a3b51bc,51.43958496327358,-2.5734144243076105,BS4 2AL,Indian Restaurant
